legume,"electric pressure cooker (9-10psi/70kpa) dry","electric pressure cooker (11-12psi/80kpa) dry","stovetop pressure cooker (13-15psi/100kpa) dry","electric pressure cooker (9-12psi/70-80kpa) soaked","stovetop pressure cooker (13-15psi/100kpa) soaked *","pressure selection","opening method"
"Adzuki or Azuki, red and green",tbd,20,15,9,5,High,Natural
Anasazi,24,22,20,7,4,High,Natural
Black Beans,26,24,22,6,4,High,Natural
Black-eyed Peas,10,7,6,5,3,High,Natural
Borlotti,30,25,20,10,7,High,Natural
Cannellini,35,30,25,8,6,High,Natural
Chickpeas,50-55,40,35,15,13,High,Natural
"Chickpeas, split",tbd,7,5,-,-,,
Chole (see Chickpeas),tbd,,,,,,
Corona,tbd,30,25,10,8,High,Natural
Cranberry (see Borlotti),,,,,,,
"Fava, dried",tbd,30,25,12,10,High,Natural
"Fava, fresh",8,8,6,-,-,High,"Normal, Natural"
Flageolet (see Navy),,,,,,,
Garbanzo (see Chickpeas),,,,,,,
Giant White Beans (see Corona or Lima),,,,,,,
Great Northern Beans(see Cannellini),,,,,,,
Green Beans (see VEGETABLES),,,,,,,
Harticots (see Cannellini),,,,,,,
"Kidney Bean, white (see Cannellini)",,,,,,,
"Lentils, Black Beluga",tbd,8,7,,,High,Natural
"Lentils, French Green, green, or mini",tbd,10,8,5,7,High,Natural
"Lentils, Split - Red, Orange, or Yellow",1,1,1,-,-,High,Natural
"Lentils, regular",14,12,10,-,-,High,Natural
"Lima, baby or large",tbd,15,12,7,5,High,Natural
Lobia (see Black-eyed Peas),,,,,,,
"Masoor (see Lentils, split)",,,,,,,
"Mung (see Adzuki, green)",,,,,,,
Navy,tbd,20,18,8,6,High,Natural
"Peanuts, Fresh",,,,50,45,High,Natural
"Peas, white (see Navy)",,,,,,,
"Peas, whole green",20,18,16,10,8,High,Natural
"Peas, split, green",tbd,5,5,-,-,High,Natural
"Peas, split, yellow or orange (see Lentils, split)",,,,,,,
Pinto (see Borlotti),,,,,,,
Rajma (see Red Kidney),,,,,,,
Red Kidney,tbd,24,22,8,5,High,Natural
Scarlet runner,22,20,18,8,5,High,Natural
"Soy, yellow",tbd,40,35,22,20,High,Natural
"Soy, red (see Adzuki)",,,,,,,
White Beans (see Cannellini),,,,,,,
