rice,"liquid per 1 cup (250ml) rice","electric pressure cooker (9-10psi/70kpa)","electric pressure cooker (11-12psi/80kpa)","stovetop pressure cooker (13-15psi/100kpa)","pressure selection","opening method"
Arborio Rice (risotto),2 cups (500 ml),5,5,7,High or Low,Slow Normal
Basmati Rice,1 1/2 cups (375 ml),3,3,3,High or Low,10-Min. Natural
Basmati Rice (rinsed),1 1/4 cups (315 ml),1,1,1,High or Low,10-Min. Natural
Basmati Rice (soaked),1 cup (250 ml),1,1,1,High or Low,10-Min. Natural
"Black Rice 
(see Brown Rice)",,,,,,
Brown Rice,1 1/4 cups (315 ml),22,20,18,High,10-Min. Natural
"Cargo Rice 
(see Brown Rice)",,,,,,
"Carnaroli Rice
(see Arborio Rice)",,,,,,
"Forbidden Rice 
(see Brown Rice)",,,,,,
Jasmine Rice (rinsed),1 cup (250 ml),1,1,1,High or Low,10-Min. Natural
Jasmine Rice (un-rinsed),1 1/4 cup (312 ml),1,1,1,High or Low,10-Min. Natural
Parboiled Rice (Uncle Ben's),1 1/2 cups (375 ml),5,5,5,High or Low,Slow Normal
"Red Rice 
(see Brown Rice)",,,,,,
"Risotto
(see Arborio Rice)",,,,,,
Romano Rice,2 1/4 (560 ml),5,5,5,High or Low,10-Min. Natural
Sushi Rice (rinsed),1 1/2 (375 ml),7,7,7,High or Low,5-Min. Natural
White long-grain Rice,1 1/2 cups (375 ml),3,3,3,High or Low,10-Min. Natural
White short-grain Rice,1 1/2 cups (375 ml),8,8,8,High or Low,Slow Normal
Wild Rice,3 cups (750 ml),30,25,20,High,Natural
